Rk,Player,Age,Team,Lg,WAR,G,PA▼,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Francisco Lindor#,31,NYM,NL,5.8,160,732,644,117,172,35,0,31,86,31,6,65,131,.267,.346,.466,.811,129,.359,128,300,9,16,0,7,2,*6/DH,AS,lindofr01
2,Rafael Devers*,28,2TM,2LG,4.0,163,729,607,99,153,33,0,35,109,1,1,112,192,.252,.372,.479,.851,140,.366,139,291,16,6,0,4,10,*D3/5H,,deverra01
3,Shohei Ohtani*,30,LAD,NL,6.6,158,727,611,146,172,25,9,55,102,20,6,109,187,.282,.392,.622,1.014,179,.423,175,380,9,3,0,2,20,*D1,AS,ohtansh01
4,Matt Olson*,31,ATL,NL,6.1,162,724,624,98,170,41,2,29,95,1,0,91,176,.272,.366,.484,.850,138,.368,136,302,14,4,0,5,2,*3,AS,olsonma02
5,Kyle Schwarber*,32,PHI,NL,4.7,162,724,604,111,145,23,2,56,132,10,2,108,197,.240,.365,.563,.928,150,.396,149,340,4,11,0,1,6,*D/7,AS,schwaky01
6,Geraldo Perdomo#,25,ARI,NL,7.0,161,720,597,98,173,33,5,20,100,27,6,94,83,.290,.389,.462,.851,136,.382,139,276,11,10,8,11,1,*6/H,,perdoge01
7,Juan Soto*,26,NYM,NL,6.2,160,715,577,120,152,20,1,43,105,38,4,127,137,.263,.396,.525,.921,160,.410,163,303,17,3,1,6,13,*9/D,,sotoju01
8,Julio Rodríguez,24,SEA,AL,6.8,160,710,652,106,174,31,4,32,95,30,6,44,152,.267,.324,.474,.798,128,.353,133,309,15,12,0,2,5,*8/DH,AS,rodriju01
9,Pete Alonso,30,NYM,NL,3.4,162,709,624,87,170,41,1,38,126,1,2,61,162,.272,.347,.524,.871,144,.371,142,327,23,15,0,9,5,*3/D,AS,alonspe01
10,Randy Arozarena,30,SEA,AL,3.9,160,709,613,95,146,32,1,27,76,31,6,64,191,.238,.334,.426,.760,119,.341,124,261,9,27,0,5,2,*7/D,AS,arozara01
11,Cal Raleigh#,28,SEA,AL,7.3,159,705,596,110,147,24,0,60,125,14,4,97,188,.247,.359,.589,.948,169,.392,165,351,6,9,0,3,17,*2D/H,AS,raleica01
12,Elly De La Cruz#,23,CIN,NL,3.6,162,699,629,102,166,31,7,22,86,37,8,67,181,.264,.336,.440,.777,109,.342,104,277,14,2,0,1,10,*6/DH,AS,delacel01
13,Brent Rooker,30,ATH,AL,2.3,162,699,626,92,164,40,3,30,89,6,1,65,155,.262,.335,.479,.814,123,.353,125,300,13,5,0,2,4,*D9/7H,AS,rookebr01
14,Jarren Duran*,28,BOS,AL,4.6,157,696,620,86,159,41,13,16,84,24,6,60,169,.256,.332,.442,.774,114,.345,118,274,6,12,1,3,1,*78/H9D,,duranja01
15,Heliot Ramos,25,SFG,NL,1.2,157,695,620,85,159,24,1,21,69,6,4,52,158,.256,.328,.400,.728,108,.319,107,248,16,17,0,6,2,*7/DH,,ramoshe02
